date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Station Name,Latitude,Longitude,Elevation
2021-06-27,20.6,28.4,24.6,82.0,0.0,7.2,2.0,120.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2021-06-22,20.2,27.6,23.5,89.0,0.0,3.9,2.0,320.0,1.0,NW,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2021-06-07,20.8,28.4,24.8,79.0,0.0,5.8,3.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2021-06-02,20.0,28.4,24.3,85.0,7.0,3.3,3.0,130.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2021-05-18,21.4,28.1,24.4,80.0,0.0,8.1,3.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2021-05-03,20.2,29.2,24.6,81.0,0.0,8.9,2.0,30.0,2.0,SE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2021-04-23,19.6,28.0,23.4,76.0,0.0,9.8,2.0,20.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2021-04-18,20.4,27.6,22.6,80.0,0.0,8.7,3.0,180.0,2.0,S ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2021-04-08,20.8,27.3,23.4,89.0,18.0,1.5,4.0,270.0,2.0,W ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2021-04-03,20.4,29.0,25.3,74.0,0.0,2.3,2.0,330.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2021-03-24,20.4,27.7,24.3,85.0,17.3,5.0,2.0,20.0,1.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2021-03-19,20.2,29.4,25.1,78.0,82.0,4.6,3.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2021-03-14,20.0,26.2,22.5,88.0,0.0,4.0,2.0,340.0,1.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
